trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.5, 'e': 1}",35,0,-230.6876409130847,"{0: 21, 1: 3, 2: 4, 3: 4, 4: 3}",0
127,False,"{'a': 0.5, 'e': 1}",30,0,-218.2118484220952,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
128,False,"{'a': 0.5, 'e': 1}",20,0,-118.21783365822611,"{0: 10, 1: 3, 2: 3, 3: 4, 4: 0}",0
129,False,"{'a': 0.5, 'e': 1}",20,0,-40.69891830869915,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 1}",20,0,-81.46065847485261,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 1}",20,0,-83.79660351651833,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 1}",25,0,-130.17937194591542,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
133,False,"{'a': 0.5, 'e': 1}",20,0,-90.8228275693675,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
134,False,"{'a': 0.5, 'e': 1}",20,0,-68.11917237347762,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 1}",25,0,-143.1710539147503,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 1}",35,16,-37.565717943110734,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 1}",20,0,-66.3703212000814,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 1}",20,0,-191.75987353384073,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
139,False,"{'a': 0.5, 'e': 1}",20,0,-82.5668709500011,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
140,False,"{'a': 0.5, 'e': 1}",20,0,-46.79373971054456,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 1}",20,0,-21.150776567938657,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 1}",25,0,-72.4470826865294,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
143,False,"{'a': 0.5, 'e': 1}",30,0,-178.86789969793813,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
144,False,"{'a': 0.5, 'e': 1}",25,0,-148.61355561947022,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
145,False,"{'a': 0.5, 'e': 1}",20,0,-26.155492119352722,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
146,False,"{'a': 0.5, 'e': 1}",20,0,-51.07324707571725,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 1}",25,0,-172.26844379763943,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
